bord_id,pcode,exdate,numpers
1297,2019,04Apr99,11
1278,2019,04Apr99,21
1320,2019,04Apr99,13
1235,2019,04Apr99,9
1265,2019,04Apr99,7
1394,2019,04Apr99,19
1671,2019,04Apr99,10
1650,2019,04Apr99,7
1261,2019,04Apr99,28
1454,2019,04Apr99,25
1277,2019,04Apr99,24
1317,2019,04Apr99,15
1726,2019,04Apr99,22
1269,2019,04Apr99,12
1209,2019,04Apr99,7
1369,2019,04Apr99,7
1333,2019,04Apr99,7
1283,2019,04Apr99,32
1642,2019,04Apr99,5
1891,2019,04Apr99,22
1730,2019,04Apr99,8
1199,2019,04Apr99,6
1332,2019,04Apr99,2
1198,2019,04Apr99,14
1649,2019,04Apr99,5
1728,2019,04Apr99,11
1257,2019,04Apr99,4
1361,2019,04Apr99,13
1692,2019,04Apr99,6
1868,2019,04Apr99,4
1370,2019,04Apr99,11
1346,2019,04Apr99,13
1886,2019,04Apr99,30
1870,2019,04Apr99,6
1397,2019,04Apr99,5
2067,2019,04Apr99,6
1211,2019,04Apr99,7
1713,2019,04Apr99,5
1207,2019,04Apr99,6
1892,2019,04Apr99,34
2068,2019,04Apr99,4
1883,2019,04Apr99,20
1260,2019,04Apr99,3
1328,2019,04Apr99,14
1192,2019,04Apr99,4
1205,2019,04Apr99,5
1420,2019,04Apr99,18
1363,2019,04Apr99,6
1256,2019,04Apr99,10
1181,2019,04Apr99,9
1477,2019,04Apr99,27
1502,2019,04Apr99,16
1884,2019,04Apr99,17
1186,2019,04Apr99,17
1399,2019,04Apr99,10
1324,2019,04Apr99,23
1826,2019,04Apr99,5
1206,2019,04Apr99,6
1362,2019,04Apr99,13
1296,2019,04Apr99,14
1637,2019,04Apr99,18
1655,2019,04Apr99,6
1639,2019,04Apr99,8
1255,2019,04Apr99,6
1308,2019,04Apr99,4
1729,2019,04Apr99,18
1281,2019,04Apr99,23
1270,2019,04Apr99,7
1197,2019,04Apr99,4
1422,2019,04Apr99,14
1364,2019,04Apr99,7
1734,2019,04Apr99,6
1737,2019,04Apr99,8
1193,2019,04Apr99,10
1318,2019,04Apr99,6
1191,2019,04Apr99,5
1225,2019,04Apr99,10
1190,2019,04Apr99,13
1634,2019,04Apr99,8
1200,2019,04Apr99,6
1254,2019,04Apr99,8
1336,2019,04Apr99,18
1606,2019,04Apr99,7
1881,2019,04Apr99,24
1398,2019,04Apr99,58
1997,2019,04Apr99,35
1869,2019,04Apr99,6
1282,2019,04Apr99,16
1322,2019,04Apr99,11
1187,2019,04Apr99,5
1195,2019,04Apr99,14
1342,2019,04Apr99,8
1293,2019,04Apr99,9
1196,2019,04Apr99,8
1329,2019,04Apr99,3
